date_day,station,temp_F_max,temp_F_min,temp_F_mean,precip_in_sum
2020-11-26,Sanfoin Bench,42,30.7,33.9,0
2020-11-26,Baldy Draw,35.7,28.9,30.8,0
2020-11-26,Baldy Summit,27.7,22.8,24.1,0
2020-11-26,Orchard House,41.7,30.9,34.6,0
2020-11-25,Orchard House,40.4,24.5,31.4,0
2020-11-25,Sanfoin Bench,40,28.4,35.7,0
2020-11-25,Baldy Draw,34.9,29.3,31.9,0
2020-11-25,South Baldy Ridge,33.5,28.7,31.4,0
2020-11-25,Baldy Summit,30,23.8,27.6,0
2020-11-25,Indian Ridge,37.5,25.3,31.1,0
2020-11-24,Baldy Draw,36.2,28.9,31.4,0
2020-11-24,Sanfoin Bench,42.5,29.7,33.4,0
2020-11-24,Indian Ridge,39.1,28.3,31.7,0
2020-11-24,Baldy Summit,29,25,26.4,0
2020-11-24,Orchard House,42,29.3,33.1,0
2020-11-24,South Baldy Ridge,34.5,28.2,30.4,0
2020-11-23,South Baldy Ridge,35.6,26.9,29.8,0
2020-11-23,Baldy Summit,32.5,24,27.3,0
2020-11-23,Sanfoin Bench,35.4,20.1,27.7,0
2020-11-23,Orchard House,34.7,20.8,26,0
2020-11-23,Indian Ridge,32.4,20.2,25.3,0
2020-11-23,Baldy Draw,32.1,23,28.4,0
2020-11-22,South Baldy Ridge,38,25.7,30,0
2020-11-22,Orchard House,37.6,18.3,26.8,0
2020-11-22,Indian Ridge,35.1,18.1,26.6,0
2020-11-22,Baldy Summit,33,22,25.9,0
2020-11-22,Sanfoin Bench,38.9,23.4,31.4,0
2020-11-22,Baldy Draw,33,22.3,28.8,0
2020-11-21,Baldy Draw,36.6,26.7,33.5,0
2020-11-21,Sanfoin Bench,40.1,27.8,34.9,0
2020-11-21,Orchard House,40.5,23.7,31.5,0
2020-11-21,Baldy Summit,30.4,21.1,25.4,0
2020-11-21,South Baldy Ridge,35.3,24.5,29.1,0
2020-11-21,Indian Ridge,38.4,24.2,30.6,0
2020-11-20,Baldy Summit,30.2,23.8,25.9,0
2020-11-20,South Baldy Ridge,36.4,27.5,30.2,0
2020-11-20,Orchard House,43.8,29.6,35.2,0
2020-11-20,Baldy Draw,38.4,28.8,32.6,0
2020-11-20,Sanfoin Bench,44.6,28.6,36.2,0
2020-11-20,Indian Ridge,41,29.4,33.5,0
2020-11-19,South Baldy Ridge,41.9,29.5,33.1,0
2020-11-19,Baldy Summit,38.7,27.1,29.6,0
2020-11-19,Baldy Draw,44.1,31.2,35,0.1
2020-11-19,Indian Ridge,43,33.1,37.2,0.1
2020-11-19,Sanfoin Bench,43.3,34.2,38.5,0.1
2020-11-19,Orchard House,43.6,34.1,38.9,0.1
2020-11-18,South Baldy Ridge,53.6,38.4,42.5,0
2020-11-18,Orchard House,53.9,39.9,45.5,0
2020-11-18,Indian Ridge,52.2,38.9,43.8,0
2020-11-18,Baldy Draw,51.6,38.5,43.4,0
2020-11-18,Sanfoin Bench,54,40,45,0
2020-11-18,Baldy Summit,49.5,34.2,38.2,0
2020-11-17,Indian Ridge,39.8,28.7,35.2,0
2020-11-17,South Baldy Ridge,53.6,38.5,45.1,0
2020-11-17,Sanfoin Bench,41.6,30.5,34.5,0
2020-11-17,Baldy Draw,55.2,36.2,44.9,0
2020-11-17,Orchard House,42.7,32.2,38,0
2020-11-17,Baldy Summit,48.7,36.9,41.6,0.1
2020-11-16,South Baldy Ridge,37.6,32.4,35,0
2020-11-16,Sanfoin Bench,43.5,33.9,37.6,0
2020-11-16,Baldy Draw,39.8,33.9,36.3,0
2020-11-16,Baldy Summit,34.7,28.9,30.8,0
2020-11-16,Orchard House,42.9,34.5,38.2,0
2020-11-16,Indian Ridge,40.6,33.5,37.2,0
2020-11-15,South Baldy Ridge,40.5,24.6,30.1,0.1
2020-11-15,Orchard House,49.8,30.6,36.8,0
2020-11-15,Baldy Draw,43.7,27,32.6,0
2020-11-15,Baldy Summit,35.7,22.1,26.4,0
2020-11-15,Indian Ridge,47.4,28.7,34.8,0
2020-11-15,Sanfoin Bench,50.7,31.4,36.7,0
2020-11-14,Indian Ridge,37.8,27.7,32.4,0
2020-11-14,Baldy Summit,28.5,21.5,24.2,0
2020-11-14,South Baldy Ridge,31.2,24.2,27.3,0
2020-11-14,Orchard House,40.9,29.4,34.7,0
2020-11-14,Sanfoin Bench,40.6,30.5,35.2,0
2020-11-14,Baldy Draw,34.4,25.9,30.2,0
2020-11-13,Baldy Summit,28.5,19.9,23.5,0
2020-11-13,South Baldy Ridge,30.9,23.9,27.1,0
2020-11-13,Sanfoin Bench,37.5,17.7,26.7,0
2020-11-13,Indian Ridge,36.5,21.1,28.6,0
2020-11-13,Baldy Draw,33.1,26.3,29.8,0
2020-11-13,Orchard House,38.8,19.2,28.8,0
2020-11-12,South Baldy Ridge,29.7,19.9,22.9,0
2020-11-12,Sanfoin Bench,34.8,24.2,30.2,0
2020-11-12,Indian Ridge,32.4,22.1,26.9,0
2020-11-12,Baldy Summit,23.3,15.8,17.8,0
2020-11-12,Baldy Draw,31.7,22.5,26.4,0
2020-11-12,Orchard House,35.3,20.5,28.6,0
2020-11-11,Baldy Summit,23.8,19.7,22.6,0
2020-11-11,Indian Ridge,32.5,25.4,28.5,0.1
2020-11-11,Baldy Draw,29.2,25,27,0
